dataset_id,profile,seed,target_fraction,solver,status,counterfactual_verified,protected_workflows_preserved,achieved_exposure_reduction,modeled_cost,changes,departments_affected,runtime_seconds,infeasible_or_timeout
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.7,constraint_generation,FEASIBLE,true,true,0.583100202045785,556.83617,196,11,123.33288498000002,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.8,degree_greedy,FEASIBLE,true,true,0.5713925098401837,40.675588,66,10,25.83198528500003,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.8,risk_greedy,FEASIBLE,true,true,0.6734019623732355,4.391166,8,4,0.4368572640000252,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.8,min_cut,FEASIBLE,true,true,0.9820799814675195,23.277063,30,10,3.207749542999977,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.8,constraint_generation,FEASIBLE,true,true,0.666174650315915,710.307291,262,11,123.76209638800003,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.9,degree_greedy,FEASIBLE,true,true,0.6968862856955123,90.678067,132,10,52.53623225499996,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.9,risk_greedy,FEASIBLE,true,true,0.8120127993018815,6.451652,11,5,0.49647411699993427,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.9,min_cut,FEASIBLE,true,true,0.9820799814675195,23.277063,30,10,3.2098130639999454,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.9,constraint_generation,FEASIBLE,true,true,0.7533622716097755,434.113338,167,10,123.78922662900004,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.95,degree_greedy,FEASIBLE,true,true,0.7668807048304017,1265.463887,799,11,381.7608131039999,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.95,risk_greedy,FEASIBLE,true,true,0.8882773020103013,8.701652,14,7,0.9832465229999343,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.95,min_cut,FEASIBLE,true,true,0.9820799814675195,23.277063,30,10,3.6715699639999,false
seib-2026:global_hybrid:small:5000011:injected_mixed,global_hybrid,5000011,0.95,constraint_generation,FEASIBLE,true,true,0.8720834582755193,455.475957,200,10,123.28908580099983,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.5,degree_greedy,FEASIBLE,true,true,0.2567956067564987,5.107994,14,6,5.516789342999999,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.5,risk_greedy,FEASIBLE,true,true,0.3077437117504056,0.783445,2,2,0.7694103679999955,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.5,min_cut,FEASIBLE,true,true,0.9813006249283814,32.777913,45,10,3.7208396750000077,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.5,constraint_generation,FEASIBLE,true,true,0.4328522480404715,332.065731,118,11,123.831635581,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.7,degree_greedy,FEASIBLE,true,true,0.5002153787981458,23.746455,42,10,16.67656622300001,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.7,risk_greedy,FEASIBLE,true,true,0.5162182061040956,2.283445,4,2,0.3245242630000007,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.7,min_cut,FEASIBLE,true,true,0.9813006249283814,32.777913,45,10,3.697167200000024,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.7,constraint_generation,FEASIBLE,true,true,0.5551653289151309,366.151944,135,10,123.51027079200003,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.8,degree_greedy,FEASIBLE,true,true,0.5661553292680941,41.999227,64,10,25.191323922000038,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.8,risk_greedy,FEASIBLE,true,true,0.7682444150890307,5.790993,8,5,0.9252131890000328,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.8,min_cut,FEASIBLE,true,true,0.9813006249283814,32.777913,45,10,3.720187151999994,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.8,constraint_generation,FEASIBLE,true,true,0.7379874140636962,242.947823,101,10,123.29970376000006,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.9,degree_greedy,FEASIBLE,true,true,0.7003543812631424,224.10737699999999,261,10,108.92795777399999,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.9,risk_greedy,FEASIBLE,true,true,0.8114016353330148,6.540993,9,5,0.43480068100006974,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.9,min_cut,FEASIBLE,true,true,0.9813006249283814,32.777913,45,10,3.117350260999956,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.9,constraint_generation,FEASIBLE,true,true,0.834284974496816,502.649338,202,11,123.50438631499992,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.95,degree_greedy,FEASIBLE,true,true,0.7673120362747594,1353.346835,868,10,417.102565496,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.95,risk_greedy,FEASIBLE,true,true,0.8991783621337235,8.356872000000001,12,7,0.4788474630001929,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.95,min_cut,FEASIBLE,true,true,0.9813006249283814,32.777913,45,10,3.040817715000003,false
seib-2026:global_hybrid:small:6500027:injected_mixed,global_hybrid,6500027,0.95,constraint_generation,FEASIBLE,true,true,0.8441401219364394,215.345688,104,11,123.61942381400013,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.5,degree_greedy,FEASIBLE,true,true,0.19318779498207406,1.706462,5,5,2.266965865000003,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.5,risk_greedy,FEASIBLE,true,true,0.34466213648172783,1.179656,3,3,0.3638285010000004,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.5,min_cut,FEASIBLE,true,true,0.9774197968562871,13.927669,22,12,3.6338948290000133,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.5,constraint_generation,FEASIBLE,true,true,0.4075414304097955,497.868856,183,11,124.730379337,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.7,degree_greedy,FEASIBLE,true,true,0.3628970630749241,5.636958,12,8,5.369250223999984,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.7,risk_greedy,FEASIBLE,true,true,0.5024355907402144,1.929656,4,3,0.3333129430000099,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.7,min_cut,FEASIBLE,true,true,0.9774197968562871,13.927669,22,12,4.1778724480000164,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.7,constraint_generation,FEASIBLE,true,true,0.6927534056413048,894.765091,307,12,124.343048125,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.8,degree_greedy,FEASIBLE,true,true,0.5221460399932801,37.505095,63,11,28.42094129100002,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.8,risk_greedy,FEASIBLE,true,true,0.590961059035763,2.679656,5,4,0.4235422809999818,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.8,min_cut,FEASIBLE,true,true,0.9774197968562871,13.927669,22,12,3.6729312940000227,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.8,constraint_generation,FEASIBLE,true,true,0.6107638136411058,574.763999,217,12,123.94207474000001,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.9,degree_greedy,FEASIBLE,true,true,0.6515728148226585,247.630134,272,11,132.75779095899998,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.9,risk_greedy,FEASIBLE,true,true,0.8173222690723001,5.679656,9,6,1.0351135319999685,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.9,min_cut,FEASIBLE,true,true,0.9774197968562871,13.927669,22,12,4.30798503699998,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.9,constraint_generation,FEASIBLE,true,true,0.8548732549050725,523.646933,209,12,122.84391820699989,false
seib-2026:regulated_finance:small:2750159:injected_mixed,regulated_finance,2750159,0.95,degree_greedy,FEASIBLE,true,true,0.7228728711617171,1248.558154,808,11,430.25596343899997,false
